stop_id,stop_code,stop_name,stop_lat,stop_lon
CIL002,CIL002,CILAVEGNA Roma/II Giugno,45.30716975,8.74488443
CIL003,CIL003,CILAVEGNA Gravellona/Vignarello,45.313712,8.74367516
CIL005,CIL005,CILAVEGNA Roma/II Giugno,45.30716897,8.74492255
CLA001,CLA001,CIGOGNOLA Rivara - SP10 Emilia,45.04829754,9.22987528
CLA002,CLA002,CIGOGNOLA Rivara - SP10 Emilia,45.04822455,9.22991971
CLA003,CLA003,CIGOGNOLA Ca' del Piano - SP46 (Vasca),45.044001,9.24265469
CLA004,CLA004,"CIGOGNOLA Marconi, 36",45.03227599,9.24503079
CLA005,CLA005,"CIGOGNOLA Vallescuropasso - SP198, 21",45.04722551,9.25609137
CLA006,CLA006,"CIGOGNOLA Vallescuropasso - SP198, 21",45.04724083,9.25618843
CLA007,CLA007,CIGOGNOLA Ca' del Piano - Vicomune,45.04271167,9.22967399
CLA008,CLA008,CIGOGNOLA Ca' del Piano - Vicomune,45.04267892,9.22974267
CLA009,CLA009,"CIGOGNOLA Marconi, 36",45.03223178,9.24493807
CLA020,CLA020,CIGOGNOLA Valle Cima - SP198,45.04101862,9.25926734
CLA021,CLA021,CIGOGNOLA Valle Cima - SP198,45.04074146,9.25939436
CLO001,CLO001,CORTEOLONA GENZONE Olona/Giovanni XXIII,45.15889404,9.36207191
CLO002,CLO002,CORTEOLONA GENZONE Olona/Giovanni XXIII,45.15882929,9.36197462
CLO003,CLO003,CORTEOLONA GENZONE Maffi/Gianani,45.15707101,9.37055246
CLO005,CLO005,"CORTEOLONA GENZONE Cavallotti, 11 (Posta)",45.15708039,9.36783878
CLO006,CLO006,"CORTEOLONA GENZONE Cavallotti, 11 (Posta)",45.1570097,9.36855858
CLO007,CLO007,CORTEOLONA GENZONE Caduti per la Patria/Stazione (FS),45.15856469,9.37574967
CLO008,CLO008,CORTEOLONA GENZONE Caduti per la Patria/Stazione (FS),45.1587463,9.37569171
CLO009,CLO009,CORTEOLONA GENZONE Longobardi/Lombardia,45.15261793,9.3730974
CLO010,CLO010,CORTEOLONA GENZONE Longobardi/Lombardia,45.15266206,9.37325699
CLO013,CLO013,"CORTEOLONA GENZONE SP234 Kennedy, 10",45.15856771,9.37083798
CLO014,CLO014,"CORTEOLONA GENZONE SP234 Kennedy, 10",45.15868706,9.37030212
CLO015,CLO015,CORTEOLONA GENZONE Cavallotti/Giovanni XXIII,45.15795831,9.36478891
CLO016,CLO016,CORTEOLONA GENZONE Cavallotti/Giovanni XXIII,45.15838029,9.36374621
CML001,CML001,CANDIA LOMELLINA Roma/Marconi,45.17621177,8.59506044
CML002,CML002,CANDIA LOMELLINA Roma/Marconi,45.17626328,8.59509969
CMO002,CMO002,CASALE MONFERRATO Autostazione - Dante,45.13104983,8.45350323
CMO012,CMO012,CASALE MONFERRATO Terranova - Maestra/Stura (Chiesa),45.16398294,8.52314469
CMO013,CMO013,CASALE MONFERRATO Terranova - Maestra/Stura (Chiesa),45.16386114,8.52308307
CMO014,CMO014,CASALE MONFERRATO FS - Vittorio Veneto,45.13374745,8.45934855
CMO018,CMO018,CASALE MONFERRATO Adam/Oliaro,45.14367771,8.44670894
CMO019,CMO019,CASALE MONFERRATO Adam/Frailich,45.14367893,8.44658093
CMO020,CMO020,CASALE MONFERRATO S.Martino/Venezia,45.14059794,8.4525339
CMO021,CMO021,CASALE MONFERRATO S.Martino/Venezia,45.14067136,8.45256771
CMR001,CMR001,CAVA MANARA Tre Re -  Turati/Villa Glori,45.13214219,9.11945272
CMR002,CMR002,CAVA MANARA Tre Re - Togliatti/Giovanni XXIII,45.12630711,9.11922933
CMR003,CMR003,CAVA MANARA Mezzana Corti - Barsanti/Battelli,45.12279328,9.1197094
CMR004,CMR004,"CAVA MANARA Mezzana Corti - Barsanti, 33",45.12023465,9.12034995
CMR005,CMR005,"CAVA MANARA Mezzana Corti - Fermi, 16",45.11685698,9.1228643
CMR006,CMR006,"CAVA MANARA Mezzana Corti - Fermi, 36",45.11570397,9.12430632
CMR007,CMR007,CAVA MANARA Mezzana Corti - Galvani,45.11380706,9.12722759
CMR008,CMR008,"CAVA MANARA Mezzana Corti - Fermi, 36",45.11583619,9.12429996
CMR009,CMR009,"CAVA MANARA Mezzana Corti - Fermi, 16",45.11699201,9.12287401
CMR010,CMR010,"CAVA MANARA Mezzana Corti - Barsanti, 33",45.12038418,9.12040375
CMR011,CMR011,CAVA MANARA Mezzana Corti - Barsanti/Battelli,45.12289036,9.11988597
CMR013,CMR013,CAVA MANARA Tre Re -  Turati/Villa Glori,45.1321543,9.11961769
CMR014,CMR014,CAVA MANARA XXVI Aprile/Olivelli,45.14264132,9.11707868
CMR015,CMR015,CAVA MANARA Gramsci/Vittorio Emanuele II,45.14129667,9.10956187
CMR016,CMR016,CAVA MANARA Garibaldi/Costa,45.14121611,9.10132888
CMR017,CMR017,CAVA MANARA Dei Liguri/Matteotti,45.13834309,9.10404223
CMR018,CMR018,CAVA MANARA Vittorio Emanuele II,45.14122764,9.11026285
CMR020,CMR020,CAVA MANARA Tre Re - Togliatti/Giovanni XXIII,45.12620688,9.11939018
CMR021,CMR021,CAVA MANARA XXVI Aprile/Olivelli,45.14257369,9.11726292
CMR023,CMR023,CAVA MANARA SP193 Alessandria/Moro (Zona Ind.),45.1426937,9.09197974
CMR024,CMR024,"S.MARTINO SICCOMARIO SP35 Dei Giovi - Turati, 61",45.13689009,9.11972702
CMR025,CMR025,CAVA MANARA Garibaldi/Costa,45.14125813,9.10064467
CMR026,CMR026,CAVA MANARA Gramsci/Vittorio Emanuele II,45.14124025,9.10977606
