fermata;lat;lon
VZZ013;45,35392937;9,340905828
LOD001;45,32576391;9,515478666
LOD024;45,32978035;9,508601209
LOD025;45,33049025;9,50766597
LOD022;45,33230467;9,501150433
LOD023;45,3419958;9,499053669
LOD012;45,31647498;9,507477654
LOD011;45,31651327;9,507064651
LOD014;45,31423822;9,507583712
LOD013;45,31493588;9,511940769
LOD015;45,31337586;9,510852811
LOD017;45,31052268;9,508236413
SDN139;45,40850698;9,278603678
MGG030;45,57873855;9,230519315
MLN800;45,42966048;9,257043984
MLN131;45,42892322;9,256735364
LSS500;45,59928035;9,233655114
PDD709;45,57177827;9,17132563
PLT005;45,50951773;9,326776468
PLT006;45,50914081;9,327852415
PLT086;45,4735719;9,315294896
PDD710;45,56696648;9,185580772
MNT005;45,37523284;9,573113628
MNT006;45,37527565;9,573191967
MGG010;45,5987652;9,228076267
LSS047;45,59939441;9,231661543
LSS048;45,59929915;9,232001492
MNT004;45,37761726;9,5728559
MNT003;45,37778487;9,572792697
MZZ007;45,45971308;9,693003007
MZZ008;45,46002076;9,692997529
OZN002;45,39505074;9,927077802
GGO012;45,28548796;9,138590418
OZN003;45,39557112;9,926295189
OZN009;45,40033021;9,92170984
LSS069;45,61603768;9,241746526
LSS070;45,61598155;9,241467946
LSS072;45,61307071;9,243313368
LSS073;45,61402314;9,246957641
LSS074;45,61382363;9,247129603
LSS075;45,61273053;9,248658365
GNG899;45,53685858;9,409571468
LSS077;45,6128181;9,249078333
BAS611;45,35855641;9,16433356
MLN716;45,42940576;9,177601109
BAS610;45,35568251;9,162237752
BAS612;45,36317576;9,161576764
BAS613;45,36102086;9,15960455
BAS614;45,3629116;9,156299196
BAS615;45,36761651;9,157028399
BAS616;45,36574763;9,161698946
RZZ667;45,37162108;9,167885304
BAS617;45,35642776;9,14998168
RZZ668;45,37384048;9,167883544
RZZ670;45,3738517;9,167661818
ASS500;45,40109761;9,146602902
RZZ671;45,37655578;9,15068024
VZZ701;45,36018259;9,340922949
GNG898;45,53691354;9,409831078
GST899;45,54583953;9,442172774
MLN717;45,52944935;9,163285445
MLN718;45,53151312;9,162281699
LCH008;45,32164208;9,137262884
LCH013;45,31982632;9,189706413
LSS078;45,60224061;9,243659559
LSS079;45,60242598;9,242547148
LSS080;45,60247632;9,249078652
LSS081;45,60279556;9,249034735
PDD790;45,57484486;9,141653982
MLN149;45,45874673;9,221555351
RDN017;45,48259399;9,344781302
RDN018;45,48252777;9,344534503
MRN501;45,6841215;9,183890688
MBE012;45,01446354;9,319501699
MBE008;45,01859743;9,299268105
MBE007;45,01787649;9,313212504
PVM637;45,34131517;9,199539114
PVM638;45,34160098;9,199519861
PVM639;45,34212777;9,200615861
PVM641;45,34382762;9,200939317
MZZ003;45,47669514;9,69127738
AGN001;45,44498333;9,552655
AGN002;45,445405;9,552661522
MZZ001;45,48040079;9,696581466
MZZ002;45,48030968;9,696663436
MZZ006;45,47426636;9,690898935
MZZ005;45,47417384;9,690794186
LSS082;45,61972708;9,244804387
LSS083;45,61993687;9,244703492
CMZ019;45,44450928;9,460666403
CMZ020;45,44426535;9,461893808
SZL010;45,32967645;9,355763026
MLZ102;45,49881435;9,412142233
ZBP018;45,41624489;9,43193829
ZBP011;45,41559469;9,432711648
ZBP013;45,41099553;9,436621152
SDN134;45,42154096;9,256503834
SDN135;45,42134344;9,256398422
LMB030;45,59602173;9,128600252
LMB031;45,59050499;9,14085872
LMB032;45,59140464;9,136138244
LMB033;45,59069435;9,141371941
LMB034;45,59196672;9,135026224
LMB035;45,58996224;9,119946281
LMB037;45,59756569;9,121398004
LMB038;45,58456737;9,119402577
LMB039;45,5845864;9,11895807
LMB040;45,59521059;9,12088606
LMB701;45,6048631;9,122559435
LMB702;45,60495845;9,12412654
LMB703;45,60511772;9,1263851
LMB704;45,61209863;9,131977834
LMB705;45,61332475;9,134654087
LMB706;45,61396481;9,137426321
LMB707;45,61662808;9,131389231
LMB708;45,61977853;9,119872143
LMB709;45,61469835;9,121290226
LMB710;45,61858385;9,117749145
LMB711;45,62011564;9,106089562
LMB712;45,61645968;9,106727991
LMB713;45,61377265;9,108981449
LMB714;45,60512692;9,117767077
LMB715;45,60403169;9,113202394
LMB716;45,60086083;9,113933331
LMB717;45,60182465;9,120386914
LMB718;45,60020558;9,121950229
LMB719;45,59341443;9,120046395
LMB720;45,59118278;9,119673037
LMB721;45,58898864;9,120439146
LMB722;45,58775958;9,131209845
LMB723;45,58597155;9,138185442
LMB724;45,58570938;9,141637925
LMB725;45,59006831;9,141869318
LMB726;45,59287909;9,14250099
LMB727;45,59891943;9,138841867
LMB728;45,59938577;9,137152783
LMB729;45,60137678;9,133042126
LMB730;45,60269749;9,12848867
LMB731;45,60347836;9,122059713
LSM001;45,6400669;9,298022634
LSM002;45,6398235;9,297932498
LSM003;45,64271718;9,293150787
LSM004;45,64248745;9,292923243
LSS001;45,61290778;9,242230395
LSS002;45,63396095;9,228320235
LSS003;45,63346897;9,227896244
LSS004;45,6288847;9,250983558
LSS006;45,62840345;9,250888811
LSS007;45,62708851;9,247761862
LSS008;45,62663855;9,245440757
LSS009;45,61327514;9,248225912
LSS010;45,62691007;9,247840934
LSS011;45,60417957;9,235229876
LSS012;45,60422101;9,235507611
LSS013;45,60752778;9,236452122
LSS014;45,62627678;9,244805442
LSS017;45,61310115;9,24834165
SER065;45,66073039;9,206085365
SDN097;45,41429902;9,279027018
SDN098;45,4129782;9,281092822
SDN099;45,4126746;9,281091316
SZL012;45,3192988;9,370624335
BCO004;45,06532061;9,377285206
BPR012;44,97059068;9,157397764
SGR899;45,47435422;9,303824371
VGN020;45,50009163;9,381480089
SZL800;45,33802655;9,355644043
SZL801;45,33817612;9,355769688
CCR019;45,21370737;9,254842091
MGO002;45,24102084;9,079980594
OFN004;45,37742333;9,73394095
OZN010;45,40061939;9,921784485
VDF002;45,28016707;9,21218654
GGO014;45,28492235;9,142071879
OZN018;45,3788802;9,938692009
OZN017;45,37878755;9,938942117
OZN016;45,38298159;9,935239451
OZN015;45,38290281;9,935702588
OZN024;45,37596387;9,930380928
OZN025;45,37599062;9,930633391
OZN014;45,39037528;9,928943355
OZN013;45,39042461;9,929242791
OZN022;45,38413428;9,930399144
OZN023;45,3829957;9,930503077
OZV001;45,41990741;9,958755862
OZV002;45,41995568;9,959117108
AZZ005;45,64896043;9,683016127
MLN905;45,43369275;9,264068475
AZZ006;45,64910072;9,683302957
PLL019;45,41774576;9,409806788
STT012;45,44049335;9,377851614
AZZ008;45,67062623;9,674889926
VGN005;45,49310671;9,37349992
AZZ007;45,67025038;9,674812434
LSC014;45,48151485;9,4081674
LOD016;45,31324241;9,506021916
LOD018;45,31236699;9,504587618
LOD019;45,31078209;9,502423111
LOD20;45,30870247;9,506468819
LOD037;45,30794909;9,497976913
LOD035;45,3062041;9,497902957
DES019;45,62119297;9,215585008
DES060;45,62167736;9,209438028
