comune_codice;comune_descr
SMS;S.MARTINO SICCOMARIO
SZL;S.ZENONE AL LAMBRO
SZP;S.ZENONE PO
SNB;SANNAZZARO DE' BURGONDI
SGT;SANTA GIULETTA
SRL;SARTIRANA LOMELLINA
SLL;SCALDASOLE
SGR;SEGRATE
SNG;SENAGO
SER;SEREGNO
SRG;SERGNANO
SSG;SESTO S.GIOVANNI
STT;SETTALA
SPT;SILVANO PIETRA
SZI;SIZIANO
SOM;SOMMO
SNC;SONCINO
SOD;SORDIO
SVC;SOVICO
SSS;SPESSA
SPN;SPINO D'ADDA
STR;STRADELLA
SUA;SUARDI
TCN;TICENGO
TRL;TORLINO VIMERCATI
TCO;TORRAZZA COSTE
TBE;TORRE BERETTI
TAR;TORRE D'ARESE
TIS;TORRE D'ISOLA
TNE;TORRE DE' NEGRI
TPI;TORREVECCHIA PIA
TVE;TORRICELLA VERZATE
TSI;TRAVACO SICCOMARIO
TTE;TRECATE
TRS;TRESCORE CREMASCO
TRV;TREVIGLIO
TRB;TRIBIANO
TRG;TRIUGGIO
TZI;TRIVOLZIO
TLO;TROMELLO
TRO;TROVO
TRC;TRUCCAZZANO
URG;URGNANO
VNC;VAIANO CREMASCO
VLT;VAILATE
VNI;VAL DI NIZZA
VAP;VALEGGIO
VAZ;VALENZA
VFT;VALERA FRATTA
VLN;VALLE LOMELLINA
VSA;VALLE SALIMBENE
VVD;VALVERDE
VRD;VAREDO
VZI;VARZI
VDN;VEDANO AL LAMBRO
VDG;VEDUGGIO CON COLZANO
VBL;VELLEZZO BELLINI
VRB;VERANO BRIANZA
VTE;VERNATE
VRN;VEROLANUOVA
VRV;VEROLAVECCHIA
VRT;VERRETTO
VER;VERRUA PO
VDF;VIDIGULFO
VGV;VIGEVANO
VGN;VIGNATE
VLC;VILLACHIARA
VDA;VILLANOVA D'ARDENGHI
VLR;VILLANTERIO
VIS;VISTARINO
VZZ;VIZZOLO PREDABISSI
VHR;VOGHERA
VOL;VOLPARA
ZNC;ZANICA
ZAV;ZAVATTARELLO
ZEC;ZECCONE
ZBP;ZELO BUON PERSICO
ZEM;ZEME
ZEB;ZERBO
ZBO;ZERBOLO'
ZGM;ZIBIDO S.GIACOMO
ZIN;ZINASCO
